ORGANISM,frequency
cat A,4
spayed,5
feline GIST,1
Jamaicans,1
feline Coronavirus-infected cells,1
feline Coronavirus-positive cats,1
FCoV):,1
FCoV-positive cats,8
Crandell-Reese feline kidney (CRFK) cells,2
FIPV 79â1146,3
SD =,2
Bovine serum,1
Mycoplasma (M.),1
M. bovirhinis,3
Mycoplasma species,3
Mycoplasma strains,1
Coronavirus envelope,6
canine distemper virus Canine distemper virus,1
America-2,1
human coronavirus 229E-infected cells Coronavirus,1
human coronavirus 229E (HCoV-229E)-infected A549,1
REV-A HLJ07I,1
swine influenza A(H1N1,1
avian lineage,1
Bacillus Calmette-GuÃ©rin,8
Kiwifruit Canker,1
kiwifruit,1
HBV Îµ,1
HIV transcriptomes,1
Escherichia coli dnaX,2
HBV replication-inhibitory,2
hepatitis B e antigen,2
anti-HBV,4
potexviruses,2
hantaviral,2
turkey flocks,17
Porcine circovirus type 2 capsid,1
alveolarâcapillary barrier,2
Crimean Congo,2
Ebola virus polymerase,1
Zaire,10
Reston strains,1
Juniperus rigida Sieb,1
Juniperus rigida,1
rigida samples,3
rigida,1
Avian Tembusu Virus,1
Avian Tembusu virus,1
duck tissues,2
duck IFITM1,3
Koreans,2
Human Gut Intestinal epithelial cells,1
human IECs,4
T. gondii-specific IgG,1
RSV A viruses,1
Virus-Infected Swine,1
swine influenza virus (IV),1
H3N2 Swine IV,1
H3N8 IV,1
swine-adapted virus,2
H3N8 strains,1
canine IVs,1
Swine IV,1
Equine strain,1
Fischer F344/NTac rats,2
Fasciola hepatica glycoconjugates immuneregulate dendritic cells,1
V3 regions,1
Pseudotyping exosomes,1
VSVG,2
VSVG pseudotyping,1
Huh 7,1
human macrophage cells,2
EBOV VLPs,1
West Africa,4
H6N1 influenza viruses,1
human intestinal cells,4
human cell line ADAR1,1
human lung adenocarcinoma A549 cells,1
murine coronavirus NS2,1
mouse USP18,2
mouse ISG15,4
Encephalitis virus,2
JEV genotype III,1
cytomegaloviruses (,2
JEV single-round,1
coronavirus (0.62),1
B/Yamagata,5
Polygoni Multiflori Radix,1
Baphicacanthus cusia,1
Organs Baphicacanthus cusia (Nees) Bremek,1
cusia,2
encephalomyelitis virus,33
porcine hemagglutinating encephalomyelitis (,1
Zika Zika virus,2
US acute care,1
Bovine respiratory disease (BRD),10
BRD cattle,1
V3-V4,1
SAPN surface,1
human coronavirus NL63 (30 days,1
human bocavirus 1 (22,1
cytomegalovirus (21,1
Ark isolates,1
IBV type,2
Ark type virus,1
Mass-type viruses,2
Mass-type strains,1
Ark type viruses,1
Mus musculus domesticus,1
mouse cellular,1
RV-C,40
RV-C cell-entry factor,1
human bronchial epithelial cell,3
Chicken Skeletal Muscle,1
female Xinghua chicken,1
chicken embryonic muscle,2
cat livers,1
Chicken Lines,1
lentogenic NDV,1
respondents,5
MERS-CoV (56.08 Â±,1
Non-human,3
influenza virus hemagglutinin The,1
Non-human primates,5
human TMPRSS2,3
human TMPRSS4,1
blood-sucking,1
Viral Respiratory Disease Neutrophils,1
Bovine Rhinitis B Virus,1
Carnivora,6
raccoon RABV,1
SIVmac239,13
rat kidney-52E cells,1
bats Influenza A viruses,1
human IAVs,5
human IAV,1
persons â¥65,1
Schizonepeta tenuifolia Briq,2
Schizonepeta tenuifolia Briq (,1
EV71 protease,2
Squirrels,1
Sciurus,1
Epomophorus gambianus,2
hepatitis B (HB),1
parturients,13
lectin MpL,1
Macrolepiota procera lectin,1
XY,4
Herpes Simplex Virus 1 Glycoprotein B Ectodomain Arm,1
herpes simplex virus 1 mutant strains,1
gB 3A viruses,1
gB 3A,2
gB 3A virusesâ,1
children â¤5,8
HCT/HM patients,1
HCoV LRTD,4
copathogens,2
bovine respiratory disease (BRD):,1
Knops blood,1
House virus Defective-Interfering RNAs,1
House virus,4
Lentiviruses G-quadruplexes,1
human immunodeficiency lentivirus 1,1
non-primate lentiviruses,1
primate viruses,1
primate lentivirus,2
lentiviruses 5â²-LTR G4,1
human rhinovirus serotype 1A,1
Bletilla striata,2
Influenza virus A/Sydney/5/97 (H3N2,1
Rhinovirus A,3
Rhinovirus B,1
Human Herpesvirus 7,1
coronavirus isolates,19
Human Lung Spheroids,1
human lung biopsy specimens,2
tissue-resident T cells,1
Brachyspira,1
pastures,3
swans,1
anatid herpesvirus,1
Porcine Delta,1
herpes simplex virus 1 (HSV-1)-infected cells,1
HSV-1 G4s,1
H9 subtype avian influenza vaccines,1
Newcastle Disease virus,1
IBD,3
H9 virus antigens,1
SpyX,1
BXA,3
rodent samples,2
Apodemus chevrieri,5
Apodemus ilex,1
A. chevrieri rat,1
HKU2 bat coronavirus,1
Rattus norvegicus coronavirus LNRV,1
HKU2,9
Apodemus chevrieri coronavirus,1
rodent coronaviruses,8
human-infected H7N9,2
NP/OP swab specimens,1
Radix Bupleuri,12
Crude extracts,4
human alveolar epithelial cells Human rhinovirus,1
HRV-B infects,1
chicken IFITM,1
Gallus Gallus,3
chicken breed,1
Jungle fowl,1
chicken breeds,4
avian cell lines,1
HBoV viremia/DNAemia,1
MERS-CoV papain-like protease,3
CCHFV vDUBs,1
rhinovirus upper respiratory tract,1
rhinovirus lower respiratory tract,1
Patient Outcomesâ,1
canine faecal,1
canine astrovirus,13
pseudorabies virus glycoprotein D,1
swine nectin-1,1
HSV counterpart,1
HSV),1
PRV gD.,1
Avian Astroviruses Astroviruses,1
non-structure proteins 2,1
newcastle disease virus,2
NDV-based,2
murine lung epithelial cells,2
Murine Viral Hepatitis,1
murine viral hepatitis,2
IL-33-deficient mice,1
Malsoor virus,2
outbred,2
influenza A/H1N1pdm09 strains,1
H1N1pdm09 virus,2
HRSV A ON1,1
HRSV (,1
HRSVA,1
Avian coronavirus Vaccine Strains Ma5,1
Avian coronavirus (AvCoV,1
"Ma5 (27,652 nucleotides",1
Human Coronavirus-HKU1,1
CoV-HKU1,34
Ficus septica,1
Dengue virus types 1-4,1
Ficus septica Burm,1
anti-DENV-1,1
non-envelope picornavirus,1
F. septica extracts,1
Spinal Muscular,1
human semen,2
ZIKV pre-membrane,1
human well-beingâ.,3
zoonoses,2
IBV strain H52,2
adenovector serotype 5,1
immunodeficient populations,1
immunodeficient Rag2,1
replication-incompetent Ad5 virus,1
Ad5-Fluc,1
Mice Host,1
A/J,16
NOD/ShiLtJ,4
NZO/HlLtJ),1
CAST/EiJ,3
PWK/PhJ,7
Porcine Deltacoronavirus Strains DH1/2016,1
duck flocks,2
rice paddy,1
Coronaviral,5
Coronaviral Activity Tylophorine-based,1
anti-TGEV,2
human plasma samples RNA viruses,1
Plasmodium vivax,5
US Food,8
CD11c-DTR transgenic mice,1
Dr. Morrisonâs Swine,2
adenovirus type B55,1
Human adenovirus type 55,1
Meat,1
Suidae,4
cat A three-year-old spayed,1
rHA,3
PRRS viruses,1
UK Pigs,1
HEV Hepatitis E virus,1
MERS patientsâ,1
HLA-matched,1
HSCT,15
pig producer,2
Germany â,1
M. Bateman,1
E. Jagger,1
C. G.,1
M. LÃ³pez-RodrÃ­guez,1
E. Herrera-Ramos,1
N. GonzÃ¡lez-Quevedo,1
C. RodrÃ­guez,1
E. Senturk,1
C. Ugur,1
M. Giris,1
S. Bilgic,1
E. Tuzun P004 - Adenosine a1 receptor,1
A. Douvdevani,1
H. Yoshida,1
T. Hirose,3
H. Hagiya,1
O. Tasaki,2
S. Suda,4
T. Ueno,4
T. Ikeda P007,1
H. Takahashi,1
T. Kojima,1
T. Ikeda,3
S. Ono,1
T. Taniguchi,1
S. Schuetz P012,1
H. Hawa,1
A. Tsimogianni,1
A. Vassi,1
E. Chinou,1
G. Michaloudis P014,1
A. Garcia-De,1
V. Perez-Valero,1
A. Tridente,4
T. Van der Poll,3
C. Reutelingsperger P018 - Il-8,1
G. Mills,4
E. G.,3
N. Deye,1
S. Jabert,1
M. LÃ©,1
M. Resche-Rigon,1
E. Vicaut,1
D. Tomescu,1
C. L.,6
G. Munteanu,1
E. Orenbuch-Harroch,1
H. Kasdan,1
T. Volker,1
T. RimmelÃ©,1
A. Bedova,1
Y. Sarshor,1
A. Pautova,1
N. K. Sharma,1
M. K. Brunialti,1
Rigato,1
E. Tina,1
S. SundÃ©n-Cullberg,1
A. M. Magnuson,1
Evans P032,1
Evans P033,1
Johnston,2
A. Molokhia,4
E. Nsutebu P038,1
D. Pilsgaard,1
S. Mikkelsen,1
C. Cobilinschi,4
Z. Ghiorghiu,4
N. P. Juffermans,2
S. Alsolamy,3
D. Thomas-Rueddel,1
C. Haas,2
Sevcik P049,1
M. Aguilar Arzapalo,1
T. Lee,1
Boyd,1
E. Scarlatescu,1
G. Droc,1
S. S. Zeerleder,1
N. P. Juffermans P055 -,1
C. S.,6
S. W.,4
S. K. Kuhn,1
M. G. GrÃ¼ndling P056,1
S. Hamaguchi,1
patients E. GÃ³mez-SÃ¡nchez,1
E. Ãlvarez-Fuente,2
E. GÃ³mez-Pesquera,2
A. SÃ¡nchez-LÃ³pez,2
A. HernÃ¡ndez-Lozano,1
M. T. PelÃ¡ez-JareÃ±o,2
E. Tamayo P058 -,1
Germany D. O. Thomas-RÃ¼ddel,1
C. Fleischmann,1
T. Burger,1
E. Toth-martin P061 - Zero clabsiâ â,1
C. Valencia,1
M. L. Lambert P063,1
Brunke,1
S. Nimitvilai,1
S. Jarupongprapa,1
D. Valanciene P067,1
V. Lostarakos,1
Chen,3
D. R.,3
M. A. Wiewel,1
H. Ishikura P073,1
patients H. Al-Dorzi,1
Y. Arabi P075 - Multidrug-resistant Acinetobacter baumannii,1
H. Talaie P076 - Multidrug-resistant,1
E. Nieuwkoop,1
S. Koubaji,2
M. S. Mebazaa P078,1
N. Tziolos,1
C. Routsi,1
G. Vlachogiannis,1
V. Koulouras,1
N. Kapravelos,1
E. Antoniadou,1
A.,8
G. Almekhlafi,1
H. Al-Dorzi,2
S. Baharoon,1
A. Matroud,1
S. Al Johani,1
Y. Arabi P083,1
S. Y.,1
O. Alotabi,1
E. GÃ³mez-SÃ¡nchez,1
E. Tamayo,1
C. Kruger P089,1
G. L.,1
H. S. Jafri P091,1
patients M. Ben Romdhane,1
Z. Douira,1
M. Bousselmi,1
Y. Boussarsar,1
A. Vakalos,2
T. H.,2
T. S. Walsh P094,1
S. Mongodi,1
U. Kasapoglu,1
M. SÃ¼zer,1
A. YalcÄ±n,1
H. E.,4
D. Miller,1
C. E.,5
H. S. Jafri P099,1
M. S.,4
S. Ben Lakhal,2
S. Polovnikov,2
N. Kadrichu,1
T. Dang,1
C. Chiurazzi,1
C. Travierso,1
A. Motos,1
T. Senussi,1
C. S. Bouman,1
A. MathÃ´t,1
G. L. Fraser P107,1
C. Krenn P108,1
H. Talaie P109 - Phage,1
T. Leclerc,2
S. Jennes,1
Y. Que,1
T. Aldabbagh,1
A. M. Tuip-de,1
N. P. Juffermans P115,1
D. Koutete,1
D. Chroni,1
E. Walter P118,1
"patients K. Maekawa, M. Hayakawa",1
H. Kato,1
T. Matauoka,1
T. Uejima,1
"N. Morimura,",1
S. Shcherbakow,2
D. Gavrychenko,2
G. Mazurenko,2
V. Ivanova,1
O. Chystikov P120,1
O. Tarabrin,1
O. Chystikov,1
D. Huskens,1
M. Lance P124 - Rotational,1
Shenkman P126,1
Y. Koide,1
T. Goto,1
Y. Alhamdi,1
S. Abrams,1
C. Downey,1
C. H. Toh,1
M. M.,1
D. Sangaran,1
S. M. Tibby P130,1
D. Moisidou,2
E. Dalampini,2
E. Vasilarou,2
V. Kalaizi,1
H. Chatzikostenoglou,1
C. Volta,2
E. Chochliourou,2
E. Volakli,1
A. Violaki,2
E. Samkinidou,2
G. Evlavis,1
S. Keogh P135,1
S. Brunskill,1
C. Doree,1
T. Walsh,1
S. Stanworth,1
S. Moravcova,1
C. Hamilton-Davies,1
H. Ewila P138,1
patients F. Ampatzidou,1
E. A.,2
S. Zeferino,1
T. Ohnuma,1
T. Murayama,1
T. Takei,1
M. Tomita P141 - Acute kidney,1
S. Hanoura,2
S. Sudarsanan,2
H. Othamn,2
Y. Shouman,1
S. Mikheev,1
Y. Svirko,1
Y. Podoksenov P143,1
C. Aldecoa,2
C. Ince P145,1
H. Hon P146 - Terlipressin,1
E. Colombaroli,3
Pinsky P149,1
C. Leon P150 -,1
E. Frenoy,1
D. Titeca,4
T. Soupison,3
S. Kluge,1
T. Tran,1
D. De,1
C. Pierrakos P157,1
patients Ã. MartÃ­nez GonzÃ¡lez,1
C. MartÃ­nez DÃ­az,1
T. Lahmer P160,1
S. M.,2
D. Berger,1
C. Ryan,1
D. Dawson,1
M. Cronhjort,1
C. Svensen,1
E. Joelsson-Alm P163,1
C. Palazzi,1
"F. T. Tagliazucchi, G. S. Sedoni",1
D. L.,3
E. C.,2
M. Mackovic,1
patients M. Mezidi,1
Charbit,1
M. Ould-Chikh,1
Z. Linde-Zwirble,1
N. S. Shapiro P170 - Association,1
"patients A. Ben Souissi, I. Mezghani",1
Y. Ben Aicha,1
M. Crivits,1
E. Hoste P173,1
V. Rudnov,1
M. Astafyeva,1
H. Van,2
S. Rehberg,1
C. Ertmer P175,1
T. Kampmeier,1
C. Ince,1
C. Ertmer P176 - A,1
S. Ramachandran,1
H. Nair P179,1
S. Egan,1
Bates P180,1
N. R.,1
C. Choong,1
K. M. Eu,1
Geus P183 - Renal,1
T. E.,2
T. Shipley,1
"S. Kardasz, I Gonzalez",1
S. Stads,1
S. Schroeder,1
T. Slowinski,1
D. Kindgen-Milles P188,1
S. Ghabina P189 - Citrate,1
S. Busatti,1
citrate-anticoagulated CVVHD,1
M. Kosuk,1
S. Bozbay P191,1
T. Eichhorn,1
G. Valicek,1
G. Miestinger,1
A. Cuoghi,1
T. Laddomada,1
V. P. Dan,1
T. Guliashvili,1
T. D. Golobish,1
patients K. Kogelmann,1
D. Jarczak P196 - Oxiris membrane,1
S. M. Martni,1
V. C.,1
S. Morimoto,1
H. Ishikura P198,1
S. K. Kloesel,1
C. Goldfuss,1
G. Albuszies,1
patients M. Aguilar Arzapalo,1
T. Iwami,1
S. Uchino,2
T. Kitamura,1
T. Kawamura P202,1
patients H. R.,1
S. Yuksel,1
H. Njimi,1
S. Lin,1
M. OâDwyer,1
E. OâConnor,1
C. J.,3
M. E. OâConnor,1
O. Uzundere,1
D. Memis,1
N. Turan P218,1
Z. Uzundurukan,1
C. Kaymak,1
S. Bhandari P221,1
T. Mauri,1
C. Marenghi,1
T. Thomas,1
G. K. Karp,1
E. K. Kishinevsky,1
D. S. Stavi,1
N. A.,1
Schneider P227,1
Smet,1
S. Oeyen,1
D. Benoit,1
M. Park,1
C. Civanto,1
S. Yus,1
A. Oglinda,1
C. Oglinda,1
T. Sertinean,1
T. Russo,1
C. Bell,1
E. Tamberg,2
S. Mehta,1
A. Silva-Pinto,1
Z. GÃ¼llÃ¼,2
N. BoyacÃ½,2
G. ArÃ½k,1
G. Aygencel,1
Z. Ãlger,1
Z. IsÃ½kdogan,1
U. GaygÃ½sÃ½z,1
C. Sittipunt P239,1
S. Bursztein â,1
N. MacIntyre P241,1
T. Meyer,1
N. Smischney,1
A. Zepeda-Mendoza,1
E. Arch-Tirado P246 - Diaphragm,1
S. Carbognin,1
S. Lunos,1
Freeman P250,1
Freeman,3
E. George P251,1
E. George,2
C. J. Voscopoulos,1
S. BÃ¶hm,2
S. Strassmann,3
C. Karagiannidis P255 -,1
C. Karagiannidis,1
C. K.,2
M. M. Masarone,1
M. F. Fascione,1
Ruggiero P259,1
C. Chaddock,1
S. Patel,2
E. Grins,1
S. J.,4
Sturgill,1
M. G.,5
S. M. Jovinge P264,1
S. Harris-Fox P265,1
E. Cove,1
C. Mazo,1
A. Goloubev,1
S. Nenchuk P268 - Tight junctionâs,1
A. Asimakos,1
C. Vrettou,1
M. Magkou,1
E. Ischaki,1
S. Zakynthinos P269 -,1
S. Spadaro,1
S. Grasso,1
T. Andrianjafiarinoa,1
T. Randriamandrato,1
T. Rajaonera,1
S. El-Dash,1
ELV,1
A. Fischer,1
M. Boichat P274,1
T. Adati,1
S. Suzaki,1
K. Milinis,1
S. Simants,2
Y. Su P278,1
E. RodrÃ­guez RuÃ­z,1
R. HernÃ¡ndez Vaquero,1
S. TomÃ© MartÃ­nez,1
E. Varo PÃ©,1
D. Bergmans,1
S. Olde,1
Poll,1
Bowel,1
D. Gineityte,1
V. Vicka,1
A. OâLoughlin,1
V. Maraj,1
D. M. Dalcomune,2
S. L.,4
C. Heidegger,1
Z. Stanga,1
S. Evers,1
S. Cabral,2
S. Gray,1
Y. Su P297,1
Hoshino,1
T. Mitsuhashi,1
T. Tsubata,1
patients T. Rattanapraphat,1
C. Kongkamol,1
C. Koutsogiannidis,1
C. Fitton,1
S. Stacey P304,1
S. Patsatzakis,3
E. Oloktsidou,2
E. Papapostolou,1
Y. Izutani P306,1
S. Stipulante,1
H. Wulf,1
T. Wiesmann P310,1
N. Kongpolprom,1
S. Beitland,1
E. Nakstad,1
H. StÃ¦r-Jensen,1
T. DrÃ¦,1
C. Brunborg,1
E. Bertellini P318,1
T. Abdullah,1
Monem P319,1
S. Russell,1
W. Eertmans,1
C. Genbrugge,1
C. De Deyne P321 Prognostic factors,1
A. Patarchi,1
T. Spina P324,1
H. Tanaka,1
N. Otani,1
S. Ishimatsu,1
C. W.,8
T. G. Ohk,3
S. Dakova,1
Z. Ramsheva,1
S. Sencer,1
A. F.,2
M. Abu-Habsa,4
C. Hymers,1
H. Sivadhas,1
S. Sahiba,1
S. Perkins,1
A. Turgeon,2
A. Tinmouth,2
G. Pagliarello,2
T. Groza,1
D. Castanares-Zapatero,1
T. Zoerle,1
T. Suys,1
C. Patet,1
H. Quintard,1
T. Bylinski,1
RÃ¤tsep P346,1
A. F. Turgeon P347 - Hemoglobin,1
D. A.,6
A. F. Turgeon P348,1
T. Struja,1
S. Haubitz,1
T. Slade P352,1
A. Alsheikhly P354,1
T. Abe P355,1
syncope L. Kanapeckaite,1
Bahl P356,1
N. P. Oveland P357,1
Y. Schriel,1
H. Talaie,1
D. Evoy,1
Ryan P363,1
S. Raftery P365,1
T. Quasim P366,1
S. Alrabiee,1
S. Alsolamy P367,1
Gundogan,1
C. Bor,1
E. AkÃ½n Korhan,1
M. Uyar P368,1
C. Ashton,1
T. Suansanae,1
C. Suthisisang,1
S. Morakul,1
C. Karnjanarachata,1
V. Tangsujaritvijit,1
H. Al,1
Penketh P373,1
S. E.,3
Y. S.,4
G. M.,3
anaconda R. Knafelj,1
P375 - A,1
patients I. Kuchyn,1
Z. Aidoni,1
C. Skourtis P378,1
S. D.,1
S. Berhane,1
S. Robert P380,1
T. G.,1
E. Borg-Seng-Shu,1
N. C.,2
S. P.,2
patients L. U. Taniguchi,1
S. Hadfield,2
C. Senver,1
D. Sbiti-Rohr,1
S. Song,1
E. Jeong,1
E. Zoumpelouli,1
E. Kotzapanagiotou,1
V. Panagiotidou,1
M. Sdougka P390,1
A. Shafquat,1
M. Hijazi P391,1
T. Abe,1
M. F.,1
G. Kang P395 - âsooner,1
H. Hines,1
K. M.,1
C. Tordoff,1
G. Burghi P398,1
D. C. Angus,1
M. F. Knibel,1
H. Al Orainni,1
H. Tlaygeh,1
E. Dubief,1
T. Cardoso,1
E. D. Arul,1
D. M. Dalcomune P410 - Octagenerians,1
A. G.,1
D. Stott P413 - Acquired,1
T. Quasim,2
C. Goossens M.,1
S. Derde,1
T. Dufour,1
T. Janssens,1
H. Devine,2
M. Boeira,1
C. LeÃ£es,1
T. Quasim P420,1
T. Fiks,1
E. Moltchanova,1
C. Scarrot,1
T. Hall,1
turkey C,1
A. Varma P427,1
E. Carlson P428,1
D. Forte P430,1
N. Bolton,1
Hofhuis,1
G. Cabral-Campello,1
Z. MolnÃ¡r P440 - Noise,1
T. Wigmore P443,1
D. Thevenin,1
M. Correa,1
C. McBride,1
E. Koonthalloor,1
C. Walsh,1
E. Bertellini P451 - Death,1
patients E. A. Volakli,1
O. Vrani,1
T. Varsami,1
M. Sdougka P452,1
T. C.,7
C. Doig P455,1
A. Molokhia P458 - A,1
T. Quasim P459,1
V. MArtinez,1
S. Van Ieperen,1
E. Der Kinderen P461,1
NS1 C-terminal,3
Cynanchum wilfordii Polysaccharides,1
Chicken astroviruses,2
chicken layers,1
wild-derived strains,1
CAST/EiJ and,1
mouse inbred strain,1
parainfluenza type 3 (4 cases,1
metapneumovirus (9,1
human meta-pneumovirus,1
"PIV1, 2",1
MERS-CoV nsp13,2
human MDA5,1
Virus Strain CH/GX/2015/750A,1
Mexican isolates,1
Zika NS2B-NS3pro,10
Zika viral,2
Zika NS2B-NS3pro complexes,2
bovine pancreatic trypsin inhibitor (,1
primate Vero cells,1
questing,1
JEV progeny,1
immune-compromised,1
MERS CoV.,11
human rhinovirus (9,1
Congo Bats,1
Epomops,1
ST131),1
ExPEC pathovar,1
Sindbis Virus Capsid Protein,1
alphaviral nucleocapsid cores,1
SINV capsid,1
Hepatitis E VirusâAssociated,1
Pteropodid Bats,1
nycteribiid bat flies infesting,1
pteropodid bats,2
Chinese HIV patients,1
circulating IBV strains,1
birds,14
MERS-CoV Antibody Responses 1,1
convalescent-phase plasma,4
Haemophilus influenzae Type,1
Haemophilus influenzae type b (Hib),3
H. influenzae type,1
non-Hib H. influenzae,1
CPV VP2,2
HBoV VP1/2,1
HBoV genotype 1,1
HCoV-NL63 coronavirus spike glycoprotein,1
splenectomised,1
Coronavirus nucleocapsid proteins,1
Avian Species,2
LPAIV,15
chicken (Ch),1
reefs,2
C. tritonis,2
C. tritonis SG,2
feline parvovirus,20
KSA (,1
KSA (710,1
dromedary camel herds,2
MERS-CoV S1 subunit,2
Fischer 344 Rats,1
Canine Polyomavirus,1
canine polyomavirus,1
canine respiratory pathogens,3
Mycoplasma cynos,9
Canis familiaris polyomavirus 1,1
primate polyomaviruses,1
Human Zika,1
Zika (ZIKV,2
human ZIKV,3
ZIKV patients,1
Dengue virus glycoproteins,1
H9 influenza viruses,3
avian H9 influenza virus,1
H9 viruses,4
H9 virus,1
recombinant H9 viruses,1
human cancer cell lines,10
human cancer cell line A549,1
Orthobunyavirus host range,1
Oropouche virus,2
sheep BST-2,1
human BST-2,1
Mp,8
Hebei Province,1
M. pneumoniae,1
aureus bloodstream,1
S. aureus lethal,1
human tonsillar B cells,1
duck Tembusu virus,3
TMUV NS1,2
TMUV strains,1
feline cowpox virus,1
QX-type,3
human betacoronavirus HKU1 Human coronavirus,1
HKU1 virus,4
coronavirus non-structural protein 1,2
H17N10,9
Human Papillomavirus 16 Pseudovirions Human papillomavirus,1
HPV16 pseudovirions,1
NCBI,2
human placenta,4
syncytial virus-induced human airway epithelial barrier,1
RSV-A2,1
RSV F protein,9
fetuses Zika virus,1
ZIKV surface,1
Suckling C57BL/6,1
Kunming,3
BALB/c Mouse,1
Zika Virus (ZIKV,3
Coronaviridae virus,1
swine feces,8
PEDV S INDEL,1
avian macrophages,3
IBV Massachusetts-type 41,1
B41 SOSIP Env,1
gp41 subunits,3
Heliothis virescens ascovirus 3,2
noctuid larvae,1
S. exigua,1
M. similis,1
HvAV-3h,1
hepatitis C virus NS3 helicase,2
Fagonia indica,2
F. indica,1
Ebola virus glycoprotein (,5
GP-specific hybridomas,2
hybridomas,15
IgG-specific hybridomas,1
Eupatorium fortunei,1
Viruses Eupatorium fortunei (EF,1
murine RAW 264.7 macrophage cells,1
