disease,frequency
Lectinhistochemistry,1
infected tree shrew,1
Airway Injury,1
Airway injury,1
Type 2 Diabetic db/db,1
Primary Biliary Cirrhosis?Autoimmune hepatitis,1
autoimmune liver diseases,1
acute encephalitic viral infections,1
temporal alterations,1
trachomatis,1
upper genital tract,1
pelvic inflammatory disease,1
C. muridarum infection,1
oviduct and uterine horn,1
adenoviruses (AV),1
virus-positive pneumonia,1
Stuttering,1
stuttering,1
ion-induced,1
histiocytic inflammation,1
respiratory and renal complications,1
Respiratory Tract InfectionsHuman bocavirus,1
Wilsonâs disease,1
age-related dry type of macular,1
TNF-Î±induced,1
25.47 injuries,1
Caliciviridae,1
Herpes zoster,1
herpes zoster infections,1
polymyositis,1
muscle and leukogram,1
Liver TransplantationHepatitis C virus,1
HCV re-infection,1
"human cytomegalovirus, hepatitis B",1
infected DG75,1
DG75,1
T3D infection,1
chronic medical disease,1
DN30209,1
circovirus type II,1
bat-roosting behavior,1
C85,1
Virus Ribonucleoprotein PackagingThe nucleocapsid,1
coronavirus (HCoV-EMC,1
Epstein-Barr Virus Infected Human B,1
human lymphoid malignancies,1
EBV infected blasts,1
infection of B,1
EBV-associated malignancy,1
volume of influenza,1
Campylobacter jejuniCampylobacter jejuni,1
C.jejuni,1
loss of E7,1
excessive cell damage or acute viral infection,1
human pulmonary artery,1
functional deficits,1
chloroquine-resistant Plasmodium falciparum,1
favism,1
G6PD-deficient Caenorhabditis,1
reproduction defects,1
virus (DEV,1
DEV infected duck,1
acute neurological symptoms,1
Becker muscular dystrophies,1
D/BMD,1
muscle loss,1
Lactobacillus acidophilus-Induced Interferon,1
infectious and non-infectious viral particles,1
viruses of small mammals,1
respiratory disease infectious bronchitis,1
infectious recombinant IBVs (rIBVs) expressing,1
Infectious rIBVs,1
infectious rIBV,1
Human Immunodeficiency Virus Type 1 Gag,1
respiratory syndrome virusGermanium biotite,1
Theiler's Virus L,1
infections of the central nervous system,1
Theiler's virus replication,1
peak infected,1
birth increases the overall,1
compartment syndrome,1
acute bacterial pharyngitis,1
herpes simplex virus-1 infection,1
Hepatic Deficiency,1
decreases in CIS (,1
Csn8 deficiency,1
Respiratory Tract Viral Illness,1
tick-borne encephalitis virus infection,1
debilitating encephalitis,1
STS,1
Parainfluenza Type 2 Virus,1
parainfluenza type 2 virus vector (rhPIV2,1
dermal cell infiltrations,1
Clostridum difficile,1
liver ischemia reperfusion injury,1
liver ischemia/reperfusion,1
ischemic liver damage,1
aggravates liver damage,1
infectious disease immunity,1
chronic stress,1
persistently infected by neurotropic mouse,1
human neurological disease,1
microglial infection,1
chronic inflammation stage,1
pulmonary (50-Âµl,1
URI infections,1
virus LRI infection,1
"decreases in liver, lung, and spleen virus",1
rs3888188 T,1
defense and stress response,1
emergent and re-emergent infectious diseases,1
necrosuppurative osteomyelitis,1
multiple joints,1
heightened,1
reduction of infectious,1
Adventitious,1
allergic hypersensitivities,1
Infectious Diseases: 2013 Recommendations,1
Ocular Infections,1
Respiratory Tract infections,1
Intraabdominal Infections,1
Tickborne Infections,1
Viral Syndromes,1
Hepatitis C Virus InfectionChronic hepatitis C,1
Human Type II Alveolar,1
TMAdV infection,1
3 infected marmosets,1
Respiratory Syndrome corona virus,1
HCV drug development,1
fatty acid-induced,1
human cancer cell lines MCF-7,1
melanoma MALME-3,1
SCARB2-Transgenic MiceHand-foot-mouth diseases,1
nose or lung IgA.,1
human embryonic kidney 293T,1
TTMV infection,1
non-cancerous cells infected with influenza A virus,1
infected cell dies,1
Varicella-Zoster Virus InfectionVaricella-zoster virus (VZV,1
human trigeminal ganglia,1
undiagnosed pulmonary pathology,1
lung lobe lavaged,1
alveolar eosinophilia,1
Adenovirus 12-SV40 virus hybrid,1
extraneural infection,1
JaOArS982,1
Hepatitis C disease,1
HBoV1 reinfection,1
virus diseases of cereal,1
yellow dwarf virus,1
annual loss,1
HIV in the gut,1
Undifferentiated Febrile IllnessOne,1
rickettsial infections,1
RSV Vaccine,1
F-specific,1
pathological disease,1
typesHuman rhinoviruses,1
Day Disease DynamicsDespite,1
C. difficile-infected,1
C. difficile toxin A,1
weight decreases,1
C. difficile-associated diseases,1
bowel/colorectal cancer,1
commonest cancer,1
mono-association,1
astrovirus type 1 infection,1
HAstV1 infection,1
S. flexneri 4c,1
S. flexneri 2b,1
chronic obstructive pulmonary diseaseExacerbations of chronic,1
lung hyperinflation,1
comorbid extrapulmonary diseases including cardiovascular disease,1
D222G,1
respiratory syncytial virus infectionBACKGROUND,1
Lactobacillus rhamnosus CRL1505,1
Infectious Disease OutbreaksDuring outbreaks,1
inflammatory and respiratory disorders,1
reduction in pulmonary viral,1
Fibrillation,1
type II diabetes,1
insulin aggregation,1
Tyr(B26,1
Filoviridae infected,1
DiseaseInfluenza virus infection,1
TherapiesCancer,1
human parainfluenza virus type 4,1
Infectious Bronchitis Virus,1
enterotoxigenic E. coli 42 000,1
enterotoxigenic E. coli cause,1
Topp E. 2013,1
decline of honey,1
Paralysis Virus (IAPV,1
PfCSP-SAPN-induced,1
COPD-associated,1
T-antigen-,1
"Parainfluenza Virus 1, 2 and 3 (HPIV1, 2 and 3)",1
Coronavirus (TCoV),1
bursa of Fabricius (BF),1
Simplex,1
cardiovascular morbidity?the reduction,1
Lassa Fever,1
Lassa fever disease,1
chronic rheumatic disease,1
post-CHIKV,1
liver pathologies,1
NKT,1
C)-induced hepatitis,1
Renal insufficiency,1
Demyelinating Spinal Cord of Murine,1
MHV-induced demyelinating disease,1
respiratory viruses' infection,1
influenza B virus Yamagata-like,1
reductions in cardiac function,1
myocyte dysfunction,1
Neurotropic demyelinating,1
T-cell-mediated disease,1
EAE demyelinating diseases,1
acute MHV-induced disease,1
herb Radix Sophorae,1
Phytopthora ramorum,1
airway tract epitheliumAirway,1
Cytomegalovirus (MCMV,1
cytomegalovirus-associated diseases,1
Megasphaera,1
Leptotrichia/Sneathia,1
diseases of zoonotic,1
Chronic bronchitis,1
1026b,1
decreased lung lesions,1
idiopathic human cancers,1
Disordered ProteinsIntrinsically disordered,1
structural disorder of IDPs makes,1
TuMV infectious cassette expressing 6K(2):mCherry,1
Chronic Trypanosoma cruzi Infection,1
enlargement of splenic and cardiac tissues,1
hearth damage,1
Epstein-Barr Virus,1
Acute Viral Hepatitis,1
Lymphocytic Choriomeningitis Virus WE,1
corneal inflammation,1
SP infection,1
Bacterially infected,1
canine infectious laryngotracheitis,1
CAV infection,1
emergent human coronavirus,1
HCoVs infectious,1
Asymmetric limping gait and abnormal MRI signals,1
deterioration of subchondral trabecular,1
deterioration of subchondral bone,1
Chronic Graft-versus-Host DiseasePURPOSE,1
Chronic graft-versus-host disease,1
oral cGVHD,1
influenza A H1N1/09,1
H1N1/09 infection,1
OC43 Infection,1
acquired co-infection,1
triple-negative,1
clonogenic cell death,1
sepsis/septic shock,1
Cosavirus Infection,1
Lung Antiviral ImmunityThe,1
Gingivostomatitis Syndrome,1
type II diabetic,1
Lung diseases,1
A549 lung carcinoma,1
S. aureus-infected G6PD-deficient,1
S. aureus Î±-hemolysin,1
gastrointestinal viral infection,1
cancer and autoimmune diseases,1
chronic airways disease,1
asthma and chronic obstructive lung disease,1
rhinovirus-induced exacerbations,1
Yang-Xu Zhengs,1
cool extremities,1
Chronic lower respiratory tract disease,1
Newcastle disease virus expressing Ebola virus,1
hemophilia A,1
FIPV infected CRFK,1
feline coronaviruses infection,1
herpes viruses (HHVs),1
HHVs and respiratory viruses,1
RSV coinfection,1
PC-3 prostate cancer,1
saa,1
Toxocara sp.,1
decreased lung total,1
honeybee (Apis mellifera,1
H7N9 virus infected,1
human immunodeficiency virus type 1 (HIV-1) crosses mucosal surfaces,1
RSV cell infection,1
Myelodysplastic Syndromes,1
coronavirus (JHMV),1
impaired T cell,1
acute JHMV encephalitis,1
Respiratory Syncytial Virus Lower Respiratory Disease,1
RSV lower respiratory disease,1
pulmonary death,1
primary respiratory hygiene/cough,1
block droplets,1
Simian varicella virus (SVV,1
SVV-specific B,1
Viremias,1
infected duck trachea,1
duck tracheas infected,1
infected trachea,1
DV2 infection,1
norovirus genogroups I and II,1
infectious HMPV,1
infectious acute respiratory disease,1
ALV-J infected CEF,1
opportunistic pathogens like Streptococcus equi,1
allergic skin inflammation,1
skin allergic inflammation,1
Diarrhoea syndrome,1
Diarrhoea Syndrome,1
chronic progressive interstitial nephritis,1
uroepithelial tumours,1
fatty myelin,1
major difficulties,1
central nervous disease,1
Neuromyelitis,1
tuberous sclerosis,1
focal adhesions,1
MEV infection,1
H. pylori-infected gastric mucosa,1
H. pylori-positive gastric mucosa,1
miRNomes of haematopoietic stem,1
orthopoxvirus infection,1
human liver and lymph node sinusoidal endothelial cell C-type lectin (hLSECtin,1
LTRIs,1
PneumoniaAirway diseases,1
A/Anhui/1/2005,1
HIV isomerisationCyclophilin A,1
A. de Haan,1
coronaviruses and respiratory viruses,1
acute self-limiting infection,1
Nonimmunocompromised,1
viral kidney tropism,1
cytopathogenic infection,1
human infection of avian influenza A(H7N9,1
torovirus infection,1
emergent zoonotic,1
allogeneic hematopoietic stem cell transplantationViral infections,1
post-transplant viral diseases,1
post-transfusion hepatitis C,1
Chronic Myeloid Leukemia,1
Interstitial pneumonitis,1
aggressive sarcoidosis,1
granulomatous infection,1
Fulminating Disease,1
respiratory or cardiovascular disorders,1
virus (2009 H1N1,1
adenovirus and 2009 H1N1,1
mesenchymal stem cell-mediated,1
ischemic limb injury,1
Liver Infected,1
liver infected,1
A/goose/Krasnoozerskoye/627/05,1
major labor,1
Zoonotic VirusesBats,1
Rift-Valley fever virus,1
decline of lung function,1
inflammatory demyelinating optic nerve lesion,1
autoimmune-mediated disease,1
hMPV-associated illness,1
hMPV-associated illnesses,1
Rheumatoid,1
Hepatitis C Virus Infected,1
idiopathic thrombocytopenia purpura,1
peripheral B cell tolerance,1
"human losses, injury and damage to the",1
DM,1
DegradationLytic gammaherpesvirus infection,1
gammaherpesviral infection,1
perfringens alpha toxin,1
quadruple infections,1
disease of small ruminants,1
enteropathogen infections,1
Salmonella enterica (Sa,1
Tritrichomonas foetus,1
DSH,1
Infectious DiseasesSince,1
intrahepatic CD8 T cell response,1
S. nigra extracts reduced virus,1
overt damage to the host,1
feline infectious peritonitisâlike disease,1
inflammatory syndrome,1
avian-originated H7N9 infection,1
Road Traffic Injury,1
traffic injuries,1
A(H1N1)pdm09 Disease RiskDuring spring-summer 2009,1
Dietary Enterococcus faecium NCIMB 10415,1
faecium NCIMB 10415,1
WP disease,1
Pseudomonal Skin Infections,1
P. aeruginosa skin infection,1
Idiopathic acute myocarditis,1
P. falciparum-infected,1
cardiac tissue damage,1
hypokinesia,1
"human coronaviruses (CoV)-OC43, -NL63",1
-HKU1 and -229E,1
Food-borne,1
Friend murine leukemia virus (F-MuLV),1
AMs,1
respiratory syncytial virus subtype B,1
virally-induced fulminant hepatic failureThe,1
recall bias,1
Parainfluenza Type 4,1
â60.5,1
diseases of the circulatory,1
EV-71,1
HIV-1 infected individualsBACKGROUND,1
intestinal mucosal abnormalities,1
human lumbar vertebral endplate,1
Modic,1
NCIMB 10415,1
Type II Feline Coronaviruses,1
PBFIPV-DF-2 infection,1
BHR,1
chronic and acute infection,1
âPan-anthelminticâ vaccine,1
ascariasis,1
trichuriasis,1
hookworm infection,1
Hookworm Vaccine,1
adult-stage Trichuris trichiura antigen,1
infected monocytesMonocytes infected,1
staphylococcal infection,1
Stomatitis Virus-Based Andes Virus Vaccine,1
community-acquired lower respiratory infection,1
Giardiosis,1
giardiosis,1
WSSV Infection,1
Ascitic Feline Coronavirus,1
Infectious PeritonitisAscitic feline coronavirus,1
CPV 2 disease,1
bloody diarrhea,1
human swine infection,1
Pulmonary Coronavirus,1
pulmonary coronavirus infections,1
virus-specific CD4 T,1
human lung epithelial cell response,1
Peritonitis Virus ReplicationFeline,1
immune-augmented disease,1
cuprizone-induced,1
human disease MS,1
diseases like trachoma,1
C. pecorum/PEDV infected,1
PEDV co-infection-induced chlamydial persistence/stress,1
biomarkersGlioblastoma multiforme,1
GBM,1
Congenital Malaria,1
congenital vivax malaria,1
major parasitic disease,1
Dengue Virus Type 2 (DENV2)-Induced,1
Coronavirus murine hepatitis virus,1
(MHV-1)-induced acute lung injury,1
infected MHV-1,1
hyperresponsiveness,1
reduction in lung collagen,1
autoimmune and toxic hepatitis,1
toxic hepatitis,1
fulminant generalized,1
C/swine/Oklahoma/1334/2011,1
Hepatitis B Virus EntryChronic hepatitis B,1
vaccinia infection,1
Viral InfectionViral infection,1
immunological abnormalities,1
SFTSV-infected,1
CR-BSI,1
Nelson Bay OrthoreovirusA,1
infection of the species,1
Colon Cancer,1
HT-29 colon cancer,1
fever syndromes,1
RSV URI,1
Dysfunctional cell-mediated immunity,1
RSV-specific T-cell immunity,1
sialorrhea,1
purulent rhinorrhea,1
respiratory illness-induced exacerbations,1
Systolic Dysfunction,1
Liver Failure,1
acute malnutrition,1
Herpes Simplex Virus Type 2 ICP27,1
impaired the mobility of engineered,1
enteropathic,1
diarrhea - infectious etiology,1
feline leukemia virus infectionFeline leukemia virus (FeLV),1
Hepatitis C virus infection,1
hepatitis C virus-like viruses,1
IFITMs block virus,1
Lung Xenograft,1
human lung xenograft,1
Aspergillus niger,1
A. ochraceus or Penicillium,1
chronic human disease,1
NSDV infection,1
virus-regulated cell deaths,1
Lobar,1
primary pulmonary alveolar proteinosis,1
desquamative interstitial pneumonia,1
dehydrogenase deficiency,1
low dengue,1
Coronavirus Papain-like,1
cognitive and affective measures of,1
Wheezing Asthmatic Youth (,1
improves p75NTR-associated sciatic nerve,1
sciatic nerve injury,1
hypertrophic scar,1
heroin addiction,1
Dengue Virus Type 2 NS1,1
bacterial-viral coinfections,1
tuberculous destroyed lung and chronic kidney disease,1
Newcastle disease virusBACKGROUND,1
impaired NDV,1
stress reaction syndrome,1
Chikungunya Virus-Infected Non-Human,1
"coronavirus, Cystoisospora suis",1
respiratory syndrome-coronavirus infection,1
decrease in muscle strength and endurance,1
loss of muscle mass,1
Parainfluenza Virus Lower Respiratory Tract Disease,1
proven/probable LRTD,1
Parainfluenza Infections,1
respiratory viral ARI,1
parainfluenza ARIs,1
alveolar inflammation,1
instability of flavivirus genomes,1
feline infectious peritonitisRecent,1
pandemic AIDS,1
mosaicism,1
decreased edema,1
Herpes Simplex Virus Hepatitis,1
Respiratory Syndrome Coronavirus Quasispecies,1
early-stage Alzheimerâs disease,1
Haemoproteus infection,1
impairment of insulin/IRS-1/PI3K,1
Flu A/H3N2,1
chronic HPV infection,1
"anal, penile and oropharyngeal HPV-associated cancers",1
HPV-16+ cancer,1
HPV-16-associated anogenital disease,1
enteric and myeloid Î±-defensins,1
loss of the hitchhiker,1
Human immunodeficiency virus-1 (HIV-1),1
bacterial and viral pneumonia,1
Viral nucleic acid,1
Human Papillomavirus,1
decreases human papillomavirus,1
block HIV-1,1
HIV-1 Rev.,1
Autoimmune Macular Disease?Age-related macular degeneration,1
RPE atrophy,1
Hemagglutinin of Avian Influenza Virus and Suppresses,1
increase infectious disease,1
viral meningoencephalitis,1
T helper cell subsetsINTRODUCTION,1
Viruses and Coronaviruses Utilize,1
insufficiencies,1
Diseases including HPAI,1
community-acquired bacterial pneumonia,1
rhinovirusViral respiratory infections,1
Drug DevelopmentViral diseases,1
simian immunodeficiency virus/human immunodeficiency virus,1
Virus DetectionAdvanced nucleic acid-based,1
"Holochilus, Oligoryzomys, Oxymycterus, Necromys and Rattus",1
birth and loss,1
allergic and autoimmune diseases,1
Respiratory Syndrome VirusPigs,1
